"Qty";"Value";"Device";"Package";"Parts";"Description";"MFGN";"MFGP";"NOTES";"PRICE";
"6";"";"FIDUCIAL";"FIDUCIAL_1MM";"U$38, U$39, U$40, U$41, U$42, U$43";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"DNP";"";
"1";"";"MAX232SOIC16";"SO016";"U2";"RS232 Transceiver";"Texas Instruments";"MAX232DR";"";"0.86";
"2";"";"MIC94061C6";"SC70-6L";"U$4, U$5";"";"Micrel";"MIC94061YC6 TR";"";"1.50";
"1";"";"NCP1117ST33T3G_1";"SOT223";"IC1";"VOLTAGE REGULATOR";"OnSemi";"NCP1117ST33T3G";"";"";
"1";"";"RF-R2512";"R2512";"R10";"RF resistor pads for FSL reference design";"";"";"";"";
"2";"";"RJ45-8";"RJ45_SMD";"POSCON, SCANNER";"RJ45 Jack";"Molex";"0955016889";"";"";
"1";"";"RS485SOIC";"SO08";"U3";"";"Texas Instruments";"SN65HVD1781DR";"";"4.29";
"4";"";"SWITCH-TACTILE";"ESWITCH-TL3301PF";"U$13, U$14, U$15, U$16";"";"E-Switch";"TL3301DF160QG";"";"";
"1";"";"WS2801";"SO14";"U$8";"";"WorldSemi";"WS2801";"";"";
"2";"0.1uF";"RF-C0805";"C0805";"C11, C14";"RF capacitor pads for FSL reference design";"";"";"";"";
"2";"0.1uF";"RF-C0805";"C0805";"U$7, U$33";"RF capacitor pads for FSL reference design";"TDK";"C2012X5R1H104K085AA";"";"";
"2";"10";"RF-R0805";"RF-C0805";"R12, R13";"RF resistor pads for FSL reference design";"";"";"";"";
"7";"10k";"RF-R0805";"RF-C0805";"U$6, U$25, U$26, U$27, U$28, U$29, U$46";"RF resistor pads for FSL reference design";"Vishay Dale";"CRCW080510K0FKEA";"";"";
"4";"10uF";"RF-C0805";"C0805";"U$24, U$31, U$32, U$35";"RF capacitor pads for FSL reference design";"Murata";"GRM219R61E106KA12D";"";"";
"3";"1212_IND";"1212_IND";"1212_IND";"LQH3NPN100NM0L, U$47, U$49";"";"Murata";"LQH3NPN100NM0L";"";"";
"13";"1uF";"RF-C0805";"C0805";"U$11, U$12, U$17, U$21, U$22, U$23, U$34, U$50, U$51, U$52, U$53, U$54, U$55";"RF capacitor pads for FSL reference design";"TDK";"C2012X5R1E105K125AA";"";"";
"3";"24";"RF-R0805";"RF-C0805";"U$18, U$19, U$20";"RF resistor pads for FSL reference design";"Vishay Dale";"CRCW080524R0FKEA";"";"";
"1";"2X10JTAG";"2X10JTAG";"2X10JTAG";"U$3";"";"";"";"";"";
"2";"3.3";"RF-R0805";"RF-C0805";"U$57, U$58";"RF resistor pads for FSL reference design";"Samsung";"RC2012F3R3CS";"";"";
"2";"4.7k";"RF-R0805";"RF-C0805";"U$60, U$61";"RF resistor pads for FSL reference design";"Panasonic";"ERJ-6ENF4701V";"";"";
"1";"52745-1097";"52745-1097";"52745-1097";"U$2";"";"";"";"";"";
"1";"6.8";"RF-R0805";"RF-C0805";"U$56";"RF resistor pads for FSL reference design";"Yageo";"RC0805FR-076R8L";"";"";
"1";"BARREL_CUI_PJ-002A";"BARREL_CUI_PJ-002A";"BARREL_CUI_PJ-002A";"U$9";"";"";"";"";"";
"1";"BL_CON";"BL_CON";"009155004301006";"U$59";"";"AVX";"009155004301006";"";"";
"1";"INA219B";"INA219B";"DCN-R-PDSO-G8";"U$62";"";"Texas Instruments";"INA219B";"";"";
"1";"KW2_CPU_COMBO";"KW2_CPU_COMBO";"BRAIN_COMBO";"U$10";"";"";"";"";"";
"1";"PCA9632DP1";"PCA9632DP1";"TSSOP-8";"U$45";"";"NXP";"PCA9632DP1";"";"";
"1";"RA_BUTTON";"RA_BUTTON";"RA_BUTTON";"U$30";"";"";"";"";"";
"1";"RGLBED";"RGLBED";"RGBLED";"U$1";"";"";"";"";"";
"3";"SC4541";"SC4541";"SOT23-6";"U$36, U$37, U$44";"";"Semtech";"SC4541";"";"";
